query,clicks,impressions,ctr,position
drakor juli 2026,0,1,0.0000,8.00
drakor komedi 2026,0,8,0.0000,2.25
drakor komedi action 2026,0,5,0.0000,1.00
drakor komedi romantis 2026,0,4,0.0000,2.00
drakor komedi romantis terbaru 2026,0,1,0.0000,6.00
drakor komedi terbaru,0,9,0.0000,1.00
drakor komedi terbaru 2026,0,1,0.0000,1.00
drakor lawyer terbaru,0,1,0.0000,4.00
drakor lucu 2026,0,1,0.0000,1.00
drakor lucu terbaru,0,2,0.0000,1.00
drakor mei 2026,0,4,0.0000,4.00
drakor netflix 2026,0,18,0.0000,1.00
drakor netflix terbaru 2026,0,10,0.0000,1.00
drakor on going juni 2026,0,2,0.0000,6.00
drakor on going mei 2026,0,1,0.0000,3.00
drakor ongoing juni 2026,0,1,0.0000,9.00
drakor recommended 2026,0,1,0.0000,1.00
drakor rekomendasi 2026,0,8,0.0000,3.88
drakor romance 2026,0,3,0.0000,2.67
drakor romantis 2026,0,3,0.0000,3.00
drakor romantis komedi 2026,0,1,0.0000,1.00
drakor romantis terbaik 2026,0,4,0.0000,1.00
drakor romcom 2026,0,5,0.0000,1.00
drakor sekolah 2026,0,1,0.0000,3.00
drakor seru 2026,0,6,0.0000,2.67
drakor seru terbaru 2026,0,1,0.0000,7.00
drakor streaming 2026,0,2,0.0000,1.00
drakor tayang di netflix 2026,0,1,0.0000,1.00
drakor terbaik 2026,0,5,0.0000,1.40
drakor terbaik bulan ini,0,1,0.0000,5.00
drakor terbaru,0,2,0.0000,2.00
drakor terbaru 2024 rating tertinggi,0,1,0.0000,4.00
drakor terbaru 2025,0,1,0.0000,3.00
drakor terbaru 2026 di netflix,0,7,0.0000,1.00
drakor terbaru 2026 fantasi,0,1,0.0000,1.00
drakor terbaru 2026 genre action,0,1,0.0000,1.00
drakor terbaru 2026 januari,0,1,0.0000,7.00
drakor terbaru 2026 komedi romantis,0,9,0.0000,5.89
drakor terbaru 2026 list,0,1,0.0000,1.00
drakor terbaru 2026 netflix,0,4,0.0000,1.00
drakor terbaru 2026 on going,0,2,0.0000,3.00
drakor terbaru 2026 romantis,0,13,0.0000,5.31
drakor terbaru 2026 romantis rating tertinggi,0,1,0.0000,3.00
drakor terbaru 2026 trending,0,1,0.0000,2.00
drakor terbaru 2026 yang bagus,0,1,0.0000,3.00
drakor terbaru comedy,0,1,0.0000,1.00
drakor terbaru di netflix,0,1,0.0000,3.00
drakor terbaru di netflix 2026,0,5,0.0000,1.40
drakor terbaru di viu 2026,0,1,0.0000,1.00
drakor terbaru februari 2026,0,1,0.0000,8.00
drakor terbaru juli 2026,0,1,0.0000,6.00
drakor terbaru juni 2026,0,1,0.0000,7.00
drakor terbaru komedi,0,1,0.0000,1.00
drakor terbaru mei 2026,0,1,0.0000,1.00
drakor terbaru mei juni 2026,0,1,0.0000,1.00
drakor terbaru netflix 2026,0,3,0.0000,1.00
drakor terbaru thriller,0,1,0.0000,1.00
drakor terhits 2026,0,3,0.0000,1.00
drakor terlaris sepanjang masa,0,1,0.0000,3.00
drakor thriller terbaru,0,4,0.0000,1.00
drakor trending 2026,0,3,0.0000,1.00
drakor viu terbaru 2026,0,1,0.0000,1.00
drakor yang bagus,0,1,0.0000,3.00
drakor yang rilis 2026,0,1,0.0000,1.00
drakor yang seru 2026,0,3,0.0000,3.00
drakor yang tayang 2026,0,1,0.0000,3.00
drakor yang wajib ditonton 2026,0,1,0.0000,3.00
drakor2026,0,1,0.0000,9.00
drama 2026,0,1,0.0000,3.00
drama action korea terbaru,0,1,0.0000,1.00
drama china terbaru 2026,0,1,0.0000,4.00
drama chinois romance 2026,0,1,0.0000,4.00
drama coreano 2026,0,1,0.0000,3.00
drama coreen 2026,0,1,0.0000,2.00
drama coréen 2026,0,4,0.0000,2.25
drama komedi korea terbaru,0,2,0.0000,1.00
drama korea,0,1,0.0000,3.00
drama korea 2026,0,1,0.0000,5.00
drama korea 2026 list,0,10,0.0000,2.00
drama korea 2026 netflix,0,17,0.0000,1.06
drama korea 2026 rating tertinggi,0,1,0.0000,4.00
drama korea 2026 romance,0,1,0.0000,1.00
drama korea action romantis terbaru,0,1,0.0000,1.00
drama korea bulan april 2026,0,1,0.0000,8.00
drama korea fantasi 2026,0,1,0.0000,1.00
drama korea fantasi terbaru,0,1,0.0000,1.00
drama korea juli 2026,0,1,0.0000,1.00
drama korea kerajaan terbaru 2026,0,1,0.0000,4.00
drama korea komedi 2026,0,2,0.0000,1.00
drama korea komedi romantis 2026,0,1,0.0000,1.00
drama korea komedi romantis terbaru 2026,0,2,0.0000,1.00
drama korea komedi terbaru,0,7,0.0000,1.00
drama korea lucu terbaru,0,2,0.0000,1.00
drama korea mei 2026,0,2,0.0000,1.00
drama korea netflix 2026,0,4,0.0000,1.00
drama korea netflix terbaru 2026,0,13,0.0000,1.00
drama korea on going 2026,0,1,0.0000,5.00
drama korea paling populer 2026,0,2,0.0000,2.00
drama korea populer 2026,0,6,0.0000,1.50
drama korea rating tertinggi 2026,0,1,0.0000,5.00
drama korea seru 2026,0,1,0.0000,1.00
drama korea terbaik 2026,0,6,0.0000,3.67
drama korea terbaru,0,1,0.0000,8.00
drama korea terbaru 2026,0,336,0.0000,3.96
drama korea terbaru 2026 action,0,1,0.0000,5.00
drama korea terbaru 2026 netflix,0,8,0.0000,1.25
drama korea terbaru 2026 rating tertinggi,0,19,0.0000,4.84
drama korea terbaru 2026 rating tertinggi netflix,0,4,0.0000,10.50
drama korea terbaru 2026 rating tinggi,0,1,0.0000,6.00
drama korea terbaru 2026 romantis,0,7,0.0000,5.29
drama korea terbaru 2026 yang sedang tayang,0,6,0.0000,2.17
drama korea terbaru 2026 youtube,0,1,0.0000,11.00
drama korea terbaru juni 2026,0,2,0.0000,8.00
drama korea terbaru komedi,0,2,0.0000,1.00
drama korea terbaru mei 2026,0,4,0.0000,5.25
drama korea terpopuler 2026,0,1,0.0000,4.00
drama korea thriller terbaru,0,3,0.0000,1.00
drama korea upcoming 2026,0,1,0.0000,1.00
drama korea viu terbaru 2026,0,1,0.0000,1.00
drama netflix korea 2026,0,1,0.0000,1.00
drama romantis korea 2026,0,2,0.0000,1.00
drama smotret 2026,0,1,0.0000,11.00
drama terbaru 2026 korea,0,1,0.0000,1.00
drama+korea+terbaru+2026,0,1,0.0000,7.00
dramas 2026 coreanos,0,2,0.0000,4.00
dramas coreanos 2026,0,3,0.0000,3.00
dramas coreanos 2026 netflix,0,2,0.0000,3.00
estrenos doramas 2026,0,1,0.0000,4.00
estrenos dramas coreanos abril 2026,0,1,0.0000,3.00
estrenos series coreanas 2026,0,1,0.0000,5.00
famous kdrama 2026,0,1,0.0000,9.00
fantasy kdrama 2026,0,11,0.0000,9.36
film baru korea 2026,0,1,0.0000,1.00
film coreen 2026,0,1,0.0000,4.00
film coréen netflix romantique 2026,0,2,0.0000,2.50
film drakor terbaru 2026,0,53,0.0000,3.00
film drakor terbaru 2026 rating tertinggi,0,3,0.0000,3.00
film drakor thriller terbaru,0,1,0.0000,1.00
film drama korea terbaru 2026,0,4,0.0000,4.50
film komedi korea 2026,0,2,0.0000,3.00
film komedi korea terbaru,0,4,0.0000,1.50
film korea 2026,0,1,0.0000,1.00
film korea hits 2026,0,2,0.0000,1.00
film korea kerajaan terbaru 2026,0,1,0.0000,6.00
film korea komedi 2026,0,1,0.0000,1.00
film korea komedi terbaru,0,29,0.0000,1.00
film korea lucu terbaru,0,4,0.0000,1.00
film korea netflix rating tertinggi 2026,0,2,0.0000,3.50
film korea netflix terbaru 2026,0,1,0.0000,4.00
film korea romance 2026,0,2,0.0000,1.00
film korea seru 2026,0,1,0.0000,3.00
film korea terbaru 2026 action,0,3,0.0000,4.33
film korea terbaru 2026 rating tertinggi,0,8,0.0000,3.88
film korea terbaru 2026 romantis,0,6,0.0000,6.00
film korea terbaru netflix 2026,0,1,0.0000,4.00
film korea terpopuler 2026,0,1,0.0000,3.00
film korea trending 2026,0,1,0.0000,3.00
film korea viral 2026,0,1,0.0000,3.00
film korean 2026,0,1,0.0000,5.00
film lucu korea terbaru,0,1,0.0000,1.00
film movie korea terbaru 2026,0,1,0.0000,1.00
film netflix drakor terbaru 2026,0,1,0.0000,1.00
film romantis korea 2026,0,1,0.0000,3.00
film semi korea 2026,0,1,0.0000,8.00
film terbaru korea 2026,0,6,0.0000,1.00
filmy koreańskie 2026,0,1,0.0000,1.00
funny korean drama 2026,0,1,0.0000,3.00
gen z k-drama,0,1,0.0000,1.00
genre aksi,0,1,0.0000,6.00
gold land serie coreana 2026,0,1,0.0000,4.00
good k dramas to watch 2026,0,2,0.0000,9.50
good kdrama 2026,0,1,0.0000,4.00
good korean drama 2026,0,2,0.0000,23.00
good korean dramas 2026,0,1,0.0000,45.00
hbo max korean drama 2026 list,0,1,0.0000,20.00
highest rated k drama 2026,0,1,0.0000,1.00
highest rated kdrama 2026,0,1,0.0000,2.00
highest rated korean drama 2026,0,1,0.0000,3.00
historical kdrama 2026 list,0,1,0.0000,8.00
hit kdrama 2026,0,2,0.0000,10.50
honor serie coreana 2026,0,1,0.0000,2.00
hot drama,0,1,0.0000,1.00
hulu korean dramas 2026,0,3,0.0000,10.33
husbands in action 2026,0,1,0.0000,6.00
i really want to tell you kdrama 2026,0,2,0.0000,6.50
is the drama 2026 worth watching,0,1,0.0000,47.00
itu saja?,0,1,0.0000,4.00
jdramas,0,1,0.0000,4.00
judul drakor terbaru 2026,0,8,0.0000,1.25
judul drakor terbaru 2026 romantis,0,1,0.0000,12.00
judul film drakor terbaru 2026,0,2,0.0000,3.00
judul film korea terbaru 2026,0,1,0.0000,1.00
k drama 2026 list,0,1,0.0000,1.00
k drama mai 2026,0,1,0.0000,1.00
k drama netflix 2026,0,3,0.0000,2.67
k drama recommend 2026,0,1,0.0000,11.00
k dramas 2026,0,4,0.0000,3.75
k dramas 2026 netflix,0,1,0.0000,4.00
k dramas de netflix 2026,0,1,0.0000,1.00
k dramas del 2026,0,1,0.0000,1.00
k dramas en emision 2026,0,1,0.0000,1.00
k dramas que se estrenan en 2026,0,1,0.0000,1.00
k dramas recomendados 2026,0,2,0.0000,2.50
k dramas to watch 2026,0,4,0.0000,9.50
k web series,0,1,0.0000,1.00
k-drama 2026,0,1,0.0000,3.00
k-drama netflix 2026,0,1,0.0000,3.00
k-drama netflix romance 2026,0,1,0.0000,6.00
k-dramas 2026,0,1,0.0000,4.00
k-dramas 2026 lista,0,2,0.0000,1.50
k-dramas en canal 5 2026,0,1,0.0000,3.00
k-dramas en emisión 2026,0,1,0.0000,1.00
k-dramas en netflix 2026,0,1,0.0000,3.00
k-dramas nuevos 2026,0,5,0.0000,3.80
k-dramas nuevos en netflix 2026,0,1,0.0000,1.00
k-dramas on netflix 2026,0,1,0.0000,2.00
k-dramas to watch 2026,0,1,0.0000,5.00
kdrama 20206,0,1,0.0000,11.00
kdrama 2026 comedy,0,1,0.0000,1.00
kdrama 2026 netflix,0,4,0.0000,2.25
kdrama 2026 worth watching,0,7,0.0000,8.14
kdrama best to watch 2026,0,3,0.0000,10.00
kdrama comedy 2026,0,1,0.0000,6.00
kdrama de 2026,0,2,0.0000,3.50
kdrama del 2026,0,3,0.0000,2.00
kdrama enemies to lovers 2026,0,1,0.0000,10.00
kdrama fantasy romance 2026,0,1,0.0000,5.00
kdrama in hindi on netflix 2026,0,1,0.0000,3.00
kdrama junio 2026,0,1,0.0000,10.00
kdrama list 2026,0,2,0.0000,3.50
kdrama must watch 2026,0,2,0.0000,4.00
kdrama netflix,0,1,0.0000,3.00
kdrama netflix 2026,0,2,0.0000,2.00
kdrama nuevos en netflix 2026,0,1,0.0000,3.00
kdrama of the year 2026,0,1,0.0000,7.00
kdrama recommendation 2026,0,8,0.0000,12.13
kdrama recs 2026,0,1,0.0000,36.00
kdrama romcom 2026,0,1,0.0000,3.00
kdrama time travel 2026,0,1,0.0000,23.00
kdrama to watch 2026,0,31,0.0000,5.45
kdrama to watch in 2026,0,2,0.0000,13.50
kdrama to watch may 2026,0,1,0.0000,1.00
kdramas,0,1,0.0000,12.00
kdramas netflix 2026,0,2,0.0000,2.00
kdramas to watch 2026,0,5,0.0000,12.60
kdramas to watch in 2026,0,1,0.0000,3.00
keduanya,0,1,0.0000,1.00
kim bum,0,1,0.0000,5.00
koreaanse serie netflix,0,1,0.0000,3.00
korean,0,1,0.0000,14.00
korean comedy drama 2026,0,1,0.0000,3.00
korean crime drama 2026,0,1,0.0000,3.00
korean drama 2026,0,7,0.0000,5.14
korean drama 2026 must watch,0,1,0.0000,10.00
korean drama 2026 netflix list,0,1,0.0000,3.00
korean drama comedy 2026,0,1,0.0000,1.00
korean drama in netflix 2026,0,1,0.0000,4.00
korean drama list 2026,0,1,0.0000,7.00
korean drama netflix 2026,0,2,0.0000,5.00
korean drama recommendations 2026,0,1,0.0000,12.00
korean drama to watch 2026,0,2,0.0000,6.00
korean drama trends 2026,0,1,0.0000,9.00
korean drama worth watching 2026,0,3,0.0000,9.00
korean dramas 2026,0,2,0.0000,26.00
korean dramas on netflix 2026,0,2,0.0000,5.50
korean dramas with high ratings in 2026,0,1,0.0000,2.00
korean historical drama 2026 netflix,0,1,0.0000,2.00
korean movie 2026 netflix,0,1,0.0000,3.00
korean ongoing drama,0,1,0.0000,1.00
korean ongoing dramas,0,1,0.0000,1.00
korean shows to watch 2026,0,1,0.0000,13.00
koreańskie seriale 2026,0,2,0.0000,2.50
la luz que aun nos guia,0,1,0.0000,4.00
las mejores series coreanas 2026,0,3,0.0000,2.67
latest hit kdrama 2026,0,1,0.0000,3.00
latest k-drama 2026 must watch,0,1,0.0000,19.00
latest korean drama 2026,0,1,0.0000,2.00
latest korean romantic dramas 2025 2026,0,1,0.0000,19.00
latest popular korean dramas 2026,0,1,0.0000,15.00
list drakor 2026,0,3,0.0000,6.00
list drama korea 2026,0,2,0.0000,3.50
los mejores k dramas 2026,0,4,0.0000,1.50
love late at night korean drama 2026,0,2,0.0000,8.50
love late at night korean drama 2026 release date,0,1,0.0000,7.00
love your enemy 2026,0,1,0.0000,3.00
meilleur drama 2026,0,1,0.0000,6.00
meilleur drama coréen 2026,0,1,0.0000,3.00
meilleures séries coréennes netflix 2026,0,1,0.0000,2.00
mejor kdrama 2026,0,2,0.0000,2.00
mejor serie coreana 2026,0,4,0.0000,1.50
mejores doramas 2026,0,1,0.0000,4.00
mejores dramas coreanos 2026,0,1,0.0000,3.00
mejores k dramas en netflix 2026,0,1,0.0000,3.00
mejores kdrama 2026,0,2,0.0000,1.00
mejores kdramas del 2026,0,2,0.0000,2.00
mejores series coreanas 2026,0,17,0.0000,2.29
mejores series coreanas en netflix 2026,0,1,0.0000,3.00
mejores series coreanas netflix 2026,0,2,0.0000,5.00
more,0,2,0.0000,10.00
most kdrama watch 2026,0,1,0.0000,2.00
most popular k-dramas right now 2026,0,1,0.0000,18.00
most popular korean drama right now 2026,0,1,0.0000,11.00
most popular korean dramas 2025 2026,0,1,0.0000,17.00
most popular korean dramas 2026,0,5,0.0000,19.80
most viewed kdrama 2026,0,1,0.0000,3.00
movie korea 2026,0,2,0.0000,1.00
movie korea terbaru 2026,0,1,0.0000,1.00
must watch 2026 kdrama,0,1,0.0000,7.00
must watch k dramas 2026,0,4,0.0000,17.75
must watch kdrama 2026,0,8,0.0000,17.13
must watch korean drama 2026,0,9,0.0000,11.11
must watch korean series 2026,0,1,0.0000,11.00
my liberation notes saison 2,0,1,0.0000,2.00
nama drakor terbaru 2026,0,1,0.0000,3.00
netflix 2026 k drama,0,1,0.0000,3.00
netflix 2026 kdrama,0,2,0.0000,4.00
netflix drakor 2026,0,2,0.0000,1.00
netflix dramas coreanos 2026,0,1,0.0000,1.00
netflix k drama 2026,0,1,0.0000,6.00
netflix k dramas 2026 trending,0,1,0.0000,4.00
netflix kdrama 2026,0,6,0.0000,2.83
netflix kdramas 2026,0,1,0.0000,4.00
netflix korean drama 2026,0,7,0.0000,4.14
netflix korean dramas official 2026,0,1,0.0000,4.00
netflix koreanische serien 2026,0,3,0.0000,3.33
netflix neue koreanische serien 2026,0,2,0.0000,3.00
netflix serie coreana 2026,0,5,0.0000,1.60
netflix series coreanas 2026,0,2,0.0000,1.00
netflix series korea 2026,0,1,0.0000,1.00
neue kdrama 2026,0,1,0.0000,1.00
neue koreanische serien 2026,0,2,0.0000,3.00
neue koreanische serien netflix 2026,0,1,0.0000,5.00
new,0,1,0.0000,17.00
new kdrama 2026,0,1,0.0000,3.00
new kdrama 2026 netflix,0,1,0.0000,3.00
new kdrama comedy 2026,0,1,0.0000,3.00
new kdrama in netflix 2026,0,1,0.0000,3.00
